dbms,domain_name,data_type
PostgreSQL,ID,VARCHAR(26)
PostgreSQL,CODE,VARCHAR(20)
PostgreSQL,NAME,VARCHAR(100)
PostgreSQL,LONG_NAME,VARCHAR(200)
PostgreSQL,TITLE,VARCHAR(200)
PostgreSQL,SHORT_DESC,VARCHAR(500)
PostgreSQL,CONTENT,TEXT
PostgreSQL,NUMBER,VARCHAR(30)
PostgreSQL,HASH,VARCHAR(255)
PostgreSQL,CONFIG_KEY,VARCHAR(100)
PostgreSQL,TRACE_ID,VARCHAR(64)
PostgreSQL,EVENT_CODE,VARCHAR(50)
PostgreSQL,FILE_PATH,VARCHAR(1000)
PostgreSQL,DATE,DATE
PostgreSQL,TIMESTAMP,TIMESTAMP
PostgreSQL,YEAR,CHAR(4)
PostgreSQL,YEARMONTH,CHAR(6)
PostgreSQL,COUNT,INTEGER
PostgreSQL,FILE_SIZE,BIGINT
PostgreSQL,SEQ,INTEGER
PostgreSQL,QTY,"NUMERIC(10,2)"
PostgreSQL,RATE,"NUMERIC(5,2)"
PostgreSQL,MM,"NUMERIC(6,2)"
PostgreSQL,AMOUNT,"NUMERIC(15,2)"
PostgreSQL,UNIT_AMOUNT,"NUMERIC(15,2)"
PostgreSQL,COST_AMOUNT,"NUMERIC(15,2)"
PostgreSQL,YN,CHAR(1)
PostgreSQL,TEL_NO,VARCHAR(20)
PostgreSQL,MOBILE_NO,VARCHAR(20)
PostgreSQL,EMAIL,VARCHAR(100)
PostgreSQL,URL,VARCHAR(300)
PostgreSQL,IP_ADDRESS,VARCHAR(45)
PostgreSQL,ADDRESS,VARCHAR(500)
PostgreSQL,BIZ_REG_NO,VARCHAR(20)
PostgreSQL,CORP_REG_NO,VARCHAR(20)
PostgreSQL,REG_ID,VARCHAR(26)
PostgreSQL,REG_DTM,TIMESTAMP
PostgreSQL,MOD_ID,VARCHAR(26)
PostgreSQL,MOD_DTM,TIMESTAMP
PostgreSQL,DEL_YN,CHAR(1)
PostgreSQL,USE_YN,CHAR(1)
