record_type,category,domain_name,allowed_value,nullable,default_value,description,example_column
DOMAIN,문자형,ID,,N,,내부 엔터티는 26자리 ULID를 사용하는 식별자,PRJ_ID
DOMAIN,문자형,CODE,,N,,공통코드,STATUS_CD
DOMAIN,문자형,NAME,,N,,"일반 명칭(직원명, 대표자명, 코드명)",EMP_NM
DOMAIN,문자형,LONG_NAME,,N,,"일반 명칭(프로젝트명, 계약명, 고객사명)",PRJ_NM
DOMAIN,문자형,TITLE,,N,,"공지사항 제목, 게시글 제목",
DOMAIN,문자형,SHORT_DESC,,Y,,짧은 설명,REMARK
DOMAIN,문자형,CONTENT,,Y,,긴 내용,CONTENT
DOMAIN,문자형,NUMBER,,Y,,"업무번호(계약번호, 프로젝트번호, 문서번호 등)",
DOMAIN,문자형,HASH,,N,,해시값,PWD_HASH_VAL
DOMAIN,문자형,CONFIG_KEY,,N,,시스템 설정 키,SYS_CONFIG_KEY
DOMAIN,문자형,TRACE_ID,,N,,시스템 간 요청 추적 식별자,REQ_TRACE_ID
DOMAIN,문자형,EVENT_CODE,,N,,시스템 업무 사건 코드,EVENT_TYPE_CD
DOMAIN,문자형,FILE_PATH,,N,,파일 저장소 내 경로 또는 객체 키,FILE_PATH
DOMAIN,날짜 및 시간,DATE,,N,,날짜,
DOMAIN,날짜 및 시간,TIMESTAMP,,N,CURRENT_TIMESTAMP,UTC 기준 저장 일시,
DOMAIN,날짜 및 시간,YEAR,,N,,년도,
DOMAIN,날짜 및 시간,YEARMONTH,,N,,년월,
DOMAIN,숫자형,COUNT,,N,0,건수,
DOMAIN,숫자형,FILE_SIZE,,N,,바이트 단위 파일 크기,FILE_SIZE
DOMAIN,숫자형,SEQ,,N,0,순번,
DOMAIN,숫자형,QTY,,N,0,수량,
DOMAIN,숫자형,RATE,,N,0,비율,
DOMAIN,숫자형,MM,,N,0,Man Month,
DOMAIN,금액,AMOUNT,,N,0,금액,
DOMAIN,금액,UNIT_AMOUNT,,N,0,단가,
DOMAIN,금액,COST_AMOUNT,,N,0,원가,
DOMAIN,여부,YN,,N,'N',여부,
ALLOWED_VALUE,여부,YN,Y,,,Yes,
ALLOWED_VALUE,여부,YN,N,,,No,
DOMAIN,연락처,TEL_NO,,Y,,전화번호,
DOMAIN,연락처,MOBILE_NO,,Y,,휴대전화,
DOMAIN,연락처,EMAIL,,Y,,이메일,
DOMAIN,연락처,URL,,Y,,URL,
DOMAIN,연락처,IP_ADDRESS,,Y,,IPv4/IPv6 주소,ACCESS_IP_ADDR
DOMAIN,문자형,ADDRESS,,Y,,주소,CUST_ADDR
DOMAIN,사업자 정보,BIZ_REG_NO,,Y,,사업자등록번호,
DOMAIN,사업자 정보,CORP_REG_NO,,Y,,법인등록번호,
DOMAIN,공통,REG_ID,,N,,등록 사용자 ULID 또는 예약 처리주체,REG_ID
DOMAIN,공통,REG_DTM,,N,CURRENT_TIMESTAMP,등록일시,REG_DTM
DOMAIN,공통,MOD_ID,,Y,,수정 사용자 ULID 또는 예약 처리주체,MOD_ID
DOMAIN,공통,MOD_DTM,,Y,CURRENT_TIMESTAMP,수정일시,MOD_DTM
DOMAIN,공통,DEL_YN,,N,'N',삭제여부,DEL_YN
DOMAIN,공통,USE_YN,,N,'Y',사용여부,USE_YN
