entity_name,attribute_sequence,attribute_name,pk_yn,fk_target,required_yn,unique_yn,code_group_or_domain,derived_yn,personal_info_yn,default_value
알림,1,알림ID,Y,,Y,Y,도메인:ID,N,N,
알림,2,수신자ID,N,사용자.사용자ID,Y,N,도메인:ID,N,Y,
알림,3,알림유형,N,,Y,N,코드그룹:알림유형,N,N,
알림,4,제목,N,,Y,N,도메인:TITLE,N,N,
알림,5,내용,N,,N,N,도메인:CONTENT,N,N,
알림,6,읽음여부,N,,Y,N,도메인:YN,N,N,N
알림,7,발생일시,N,,Y,N,도메인:TIMESTAMP,N,N,CURRENT_TIMESTAMP
알림,8,등록자ID,N,,Y,N,도메인:REG_ID,N,Y,
알림,9,등록일시,N,,Y,N,도메인:REG_DTM,N,N,CURRENT_TIMESTAMP
알림,10,수정자ID,N,,N,N,도메인:MOD_ID,N,Y,
알림,11,수정일시,N,,N,N,도메인:MOD_DTM,N,N,
알림,12,삭제여부,N,,Y,N,도메인:DEL_YN,N,N,N
업무대상,1,업무대상ID,Y,,Y,Y,도메인:ID,N,N,
업무대상,2,업무대상유형코드,N,,Y,N,코드그룹:업무대상유형코드,N,N,
업무대상,3,등록자ID,N,,Y,N,도메인:REG_ID,N,Y,
업무대상,4,등록일시,N,,Y,N,도메인:REG_DTM,N,N,CURRENT_TIMESTAMP
업무대상,5,수정자ID,N,,N,N,도메인:MOD_ID,N,Y,
업무대상,6,수정일시,N,,N,N,도메인:MOD_DTM,N,N,
업무대상,7,삭제여부,N,,Y,N,도메인:DEL_YN,N,N,N
첨부파일,1,파일ID,Y,,Y,Y,도메인:ID,N,N,
첨부파일,2,업무대상ID,N,업무대상.업무대상ID,Y,N,도메인:ID,N,N,
첨부파일,4,원본파일명,N,,Y,N,도메인:LONG_NAME,N,N,
첨부파일,5,저장파일명,N,,Y,N,도메인:LONG_NAME,N,N,
첨부파일,6,파일경로,N,,Y,N,도메인:FILE_PATH,N,N,
첨부파일,7,파일크기,N,,Y,N,도메인:FILE_SIZE,N,N,
첨부파일,8,등록자ID,N,,Y,N,도메인:REG_ID,N,Y,
첨부파일,9,등록일시,N,,Y,N,도메인:REG_DTM,N,N,CURRENT_TIMESTAMP
첨부파일,10,수정자ID,N,,N,N,도메인:MOD_ID,N,Y,
첨부파일,11,수정일시,N,,N,N,도메인:MOD_DTM,N,N,
첨부파일,12,삭제여부,N,,Y,N,도메인:DEL_YN,N,N,N
메모,1,메모ID,Y,,Y,Y,도메인:ID,N,N,
메모,2,업무대상ID,N,업무대상.업무대상ID,Y,N,도메인:ID,N,N,
메모,4,내용,N,,Y,N,도메인:CONTENT,N,N,
메모,5,작성자ID,N,사용자.사용자ID,Y,N,도메인:ID,N,Y,
메모,6,작성일시,N,,Y,N,도메인:TIMESTAMP,N,N,CURRENT_TIMESTAMP
메모,7,등록자ID,N,,Y,N,도메인:REG_ID,N,Y,
메모,8,등록일시,N,,Y,N,도메인:REG_DTM,N,N,CURRENT_TIMESTAMP
메모,9,수정자ID,N,,N,N,도메인:MOD_ID,N,Y,
메모,10,수정일시,N,,N,N,도메인:MOD_DTM,N,N,
메모,11,삭제여부,N,,Y,N,도메인:DEL_YN,N,N,N
