entity_name,attribute_sequence,attribute_name,pk_yn,fk_target,required_yn,unique_yn,code_group_or_domain,derived_yn,personal_info_yn,default_value
예산,1,예산ID,Y,,Y,Y,도메인:ID,N,N,
예산,2,프로젝트ID,N,프로젝트.프로젝트ID,N,N,도메인:ID,N,N,
예산,3,영업기회ID,N,영업기회.영업기회ID,N,N,도메인:ID,N,N,
예산,4,예산구분,N,,N,N,코드그룹:예산구분,N,N,
예산,5,예산명,N,,N,N,도메인:LONG_NAME,N,N,
예산,6,예산금액,N,,N,N,도메인:AMOUNT,N,N,
예산,7,확정여부,N,,N,N,도메인:YN,N,N,N
예산항목,1,예산항목ID,Y,,Y,Y,도메인:ID,N,N,
예산항목,2,상위항목ID,N,예산항목.예산항목ID,N,N,도메인:ID,N,N,
예산항목,3,예산항목명,N,,Y,N,도메인:LONG_NAME,N,N,
예산항목,4,항목유형,N,,N,N,코드그룹:항목유형,N,N,
예산항목,5,사용여부,N,,Y,N,도메인:USE_YN,N,N,Y
예산상세,1,예산상세ID,Y,,Y,Y,도메인:ID,N,N,
예산상세,2,예산ID,N,예산.예산ID,Y,N,도메인:ID,N,N,
예산상세,3,예산항목ID,N,예산항목.예산항목ID,Y,N,도메인:ID,N,N,
예산상세,4,예산금액,N,,N,N,도메인:AMOUNT,N,N,
예산상세,5,비고내용,N,,N,N,도메인:CONTENT,N,N,
예산변경이력,1,예산변경ID,Y,,Y,Y,도메인:ID,N,N,
예산변경이력,2,예산ID,N,예산.예산ID,Y,N,도메인:ID,N,N,
예산변경이력,3,변경차수,N,,N,N,도메인:SEQ,N,N,
예산변경이력,4,변경금액,N,,N,N,도메인:AMOUNT,N,N,
예산변경이력,5,변경사유,N,,N,N,도메인:CONTENT,N,N,
예산변경이력,6,승인상태,N,,N,N,코드그룹:승인상태,N,N,
인건비,1,인건비ID,Y,,Y,Y,도메인:ID,N,N,
인건비,2,프로젝트ID,N,프로젝트.프로젝트ID,Y,N,도메인:ID,N,N,
인건비,3,인력유형코드,N,,N,N,코드그룹:인력유형코드,N,N,
인건비,4,인력ID,N,인력.인력ID,Y,N,도메인:ID,N,Y,
인건비,5,기준연월,N,,N,N,도메인:YEARMONTH,N,N,
인건비,6,투입MM,N,,N,N,도메인:MM,N,N,
인건비,7,인건비금액,N,,N,N,도메인:AMOUNT,N,N,
외주비,1,외주비ID,Y,,Y,Y,도메인:ID,N,N,
외주비,2,프로젝트ID,N,프로젝트.프로젝트ID,Y,N,도메인:ID,N,N,
외주비,3,협력업체ID,N,협력업체.협력업체ID,Y,N,도메인:ID,N,N,
외주비,4,외주내용,N,,N,N,도메인:CONTENT,N,N,
외주비,5,계약금액,N,,N,N,도메인:AMOUNT,N,N,
외주비,6,지급금액,N,,N,N,도메인:AMOUNT,N,N,
경비,1,경비ID,Y,,Y,Y,도메인:ID,N,N,
경비,2,프로젝트ID,N,프로젝트.프로젝트ID,Y,N,도메인:ID,N,N,
경비,3,경비유형,N,,N,N,코드그룹:경비유형,N,N,
경비,4,사용일자,N,,N,N,도메인:DATE,N,N,
경비,5,경비금액,N,,N,N,도메인:AMOUNT,N,N,
경비,6,내용,N,,N,N,도메인:CONTENT,N,N,
원가,1,원가ID,Y,,Y,Y,도메인:ID,N,N,
원가,2,프로젝트ID,N,프로젝트.프로젝트ID,Y,N,도메인:ID,N,N,
원가,3,기준연월,N,,N,N,도메인:YEARMONTH,N,N,
원가,4,인건비금액,N,,N,N,도메인:AMOUNT,Y,N,
원가,5,외주비금액,N,,N,N,도메인:AMOUNT,Y,N,
원가,6,경비금액,N,,N,N,도메인:AMOUNT,Y,N,
원가,7,총원가,N,,N,N,도메인:AMOUNT,Y,N,
손익,1,손익ID,Y,,Y,Y,도메인:ID,N,N,
손익,2,프로젝트ID,N,프로젝트.프로젝트ID,Y,N,도메인:ID,N,N,
손익,3,기준연월,N,,N,N,도메인:YEARMONTH,N,N,
손익,4,매출금액,N,,N,N,도메인:AMOUNT,Y,N,
손익,5,원가금액,N,,N,N,도메인:AMOUNT,Y,N,
손익,6,손익금액,N,,N,N,도메인:AMOUNT,Y,N,
손익,7,원가율,N,,N,N,도메인:RATE,Y,N,
공통경비배부,1,배부ID,Y,,Y,Y,도메인:ID,N,N,
공통경비배부,2,기준연월,N,,N,N,도메인:YEARMONTH,N,N,
공통경비배부,3,프로젝트ID,N,프로젝트.프로젝트ID,Y,N,도메인:ID,N,N,
공통경비배부,4,배부기준,N,,N,N,도메인:SHORT_DESC,N,N,
공통경비배부,5,배부금액,N,,N,N,도메인:AMOUNT,N,N,
