entity_name,attribute_sequence,attribute_name,pk_yn,fk_target,required_yn,unique_yn,code_group_or_domain,derived_yn,personal_info_yn,default_value
인력,1,인력ID,Y,,Y,Y,도메인:ID,N,Y,
인력,2,인력구분코드,N,,Y,N,코드그룹:인력구분코드,N,N,
인력,3,성명,N,,Y,N,도메인:NAME,N,Y,
인력,4,성별코드,N,,N,N,코드그룹:성별코드,N,Y,
인력,5,생년월일,N,,N,N,도메인:DATE,N,Y,
인력,6,휴대전화번호,N,,N,N,도메인:MOBILE_NO,N,Y,
인력,7,이메일주소,N,,N,N,도메인:EMAIL,N,Y,
인력,10,등록자ID,N,,Y,N,도메인:REG_ID,N,Y,
인력,11,등록일시,N,,Y,N,도메인:REG_DTM,N,N,CURRENT_TIMESTAMP
인력,12,수정자ID,N,,N,N,도메인:MOD_ID,N,Y,
인력,13,수정일시,N,,N,N,도메인:MOD_DTM,N,N,
인력,14,삭제여부,N,,Y,N,도메인:DEL_YN,N,N,N
인력,15,업무대상ID,N,업무대상.업무대상ID,Y,Y,도메인:ID,N,N,
직원,1,인력ID,Y,인력.인력ID,Y,Y,도메인:ID,N,Y,
직원,2,사원번호,N,,Y,Y,도메인:NUMBER,N,Y,
직원,3,입사일자,N,,N,N,도메인:DATE,N,N,
직원,4,조직ID,N,조직.조직ID,Y,N,도메인:ID,N,N,
직원,5,직위코드,N,,N,N,코드그룹:직위코드,N,N,
직원,6,재직상태코드,N,,N,N,코드그룹:재직상태코드,N,N,
직원,7,등록자ID,N,,Y,N,도메인:REG_ID,N,Y,
직원,8,등록일시,N,,Y,N,도메인:REG_DTM,N,N,CURRENT_TIMESTAMP
직원,9,수정자ID,N,,N,N,도메인:MOD_ID,N,Y,
직원,10,수정일시,N,,N,N,도메인:MOD_DTM,N,N,
직원,11,삭제여부,N,,Y,N,도메인:DEL_YN,N,N,N
외주인력,1,인력ID,Y,인력.인력ID,Y,Y,도메인:ID,N,Y,
외주인력,2,협력업체ID,N,협력업체.협력업체ID,Y,N,도메인:ID,N,N,
외주인력,4,등록자ID,N,,Y,N,도메인:REG_ID,N,Y,
외주인력,5,등록일시,N,,Y,N,도메인:REG_DTM,N,N,CURRENT_TIMESTAMP
외주인력,6,수정자ID,N,,N,N,도메인:MOD_ID,N,Y,
외주인력,7,수정일시,N,,N,N,도메인:MOD_DTM,N,N,
외주인력,8,삭제여부,N,,Y,N,도메인:DEL_YN,N,N,N
협력업체,1,협력업체ID,Y,,Y,Y,도메인:ID,N,N,
협력업체,2,업체명,N,,Y,N,도메인:LONG_NAME,N,N,
협력업체,3,사업자등록번호,N,,Y,Y,도메인:BIZ_REG_NO,N,N,
협력업체,4,대표자명,N,,N,N,도메인:NAME,N,Y,
협력업체,5,전화번호,N,,N,N,도메인:TEL_NO,N,Y,
협력업체,6,영업대표명,N,,N,N,도메인:NAME,N,Y,
협력업체,7,영업대표부서명,N,,N,N,도메인:NAME,N,N,
협력업체,8,영업대표직급,N,,N,N,도메인:NAME,N,N,
협력업체,9,영업대표연락처,N,,N,N,도메인:TEL_NO,N,Y,
협력업체,10,회사소개내용,N,,N,N,도메인:CONTENT,N,N,
협력업체,11,등록자ID,N,,Y,N,도메인:REG_ID,N,Y,
협력업체,12,등록일시,N,,Y,N,도메인:REG_DTM,N,N,CURRENT_TIMESTAMP
