entity_name,attribute_sequence,attribute_name,pk_yn,fk_target,required_yn,unique_yn,code_group_or_domain,derived_yn,personal_info_yn,default_value
매출계획,1,매출계획ID,Y,,Y,Y,도메인:ID,N,N,
매출계획,2,프로젝트ID,N,프로젝트.프로젝트ID,Y,N,도메인:ID,N,N,
매출계획,3,기준연월,N,,N,N,도메인:YEARMONTH,N,N,
매출계획,4,예정금액,N,,N,N,도메인:AMOUNT,N,N,
매출계획,5,매출구분,N,,N,N,코드그룹:매출구분,N,N,
매출계획,6,계획상태,N,,N,N,코드그룹:계획상태,N,N,
매출,1,매출ID,Y,,Y,Y,도메인:ID,N,N,
매출,2,프로젝트ID,N,프로젝트.프로젝트ID,Y,N,도메인:ID,N,N,
매출,3,계약ID,N,계약.계약ID,Y,N,도메인:ID,N,N,
매출,4,매출일자,N,,N,N,도메인:DATE,N,N,
매출,5,매출금액,N,,N,N,도메인:AMOUNT,N,N,
매출,6,매출상태,N,,N,N,코드그룹:매출상태,N,N,
청구,1,청구ID,Y,,Y,Y,도메인:ID,N,N,
청구,2,프로젝트ID,N,프로젝트.프로젝트ID,Y,N,도메인:ID,N,N,
청구,3,계약ID,N,계약.계약ID,Y,N,도메인:ID,N,N,
청구,4,청구일자,N,,N,N,도메인:DATE,N,N,
청구,5,청구금액,N,,N,N,도메인:AMOUNT,N,N,
청구,6,청구유형,N,,N,N,코드그룹:청구유형,N,N,
청구,7,청구상태,N,,N,N,코드그룹:청구상태,N,N,
수금,1,수금ID,Y,,Y,Y,도메인:ID,N,N,
수금,2,청구ID,N,청구.청구ID,Y,N,도메인:ID,N,N,
수금,3,수금일자,N,,N,N,도메인:DATE,N,N,
수금,4,수금금액,N,,N,N,도메인:AMOUNT,N,N,
수금,5,수금방법,N,,N,N,코드그룹:수금방법,N,N,
미수금,1,청구ID,Y,청구.청구ID,Y,Y,도메인:ID,N,N,
미수금,2,청구금액,N,,N,N,도메인:AMOUNT,Y,N,
미수금,3,수금금액,N,,N,N,도메인:AMOUNT,Y,N,
미수금,4,미수금액,N,,N,N,도메인:AMOUNT,Y,N,
세금계산서,1,세금계산서ID,Y,,Y,Y,도메인:ID,N,N,
세금계산서,2,청구ID,N,청구.청구ID,Y,N,도메인:ID,N,N,
세금계산서,3,발행일자,N,,N,N,도메인:DATE,N,N,
세금계산서,4,공급가액,N,,N,N,도메인:AMOUNT,N,N,
세금계산서,5,부가세,N,,N,N,도메인:AMOUNT,N,N,
세금계산서,6,발행상태,N,,N,N,코드그룹:발행상태,N,N,
