relation_expression,description
사업공고수집조건 1 : N 사업공고수집대상기관,하나의 수집조건에 여러 대상 발주기관을 등록할 수 있다.
사업공고수집조건 1 : N 사업공고수집키워드,하나의 수집조건에 여러 포함 및 제외 키워드를 등록할 수 있다.
사업공고수집조건 1 : N 사업공고수집이력,하나의 수집조건으로 여러 차례 수집을 실행할 수 있다.
사업공고수집이력 1 : N 사업공고수집원문,하나의 수집 실행에서 여러 공고 원문을 수집할 수 있다.
사업공고수집원문 1 : 1 사업공고연계수신,하나의 공고 원문은 파싱된 연계 수신 항목 하나로 저장된다.
사업공고 1 : N 사업공고연계수신,하나의 자동수집 사업공고는 변경·재공고·취소에 따라 여러 연계 수신 이력을 가질 수 있다. 반영 전에는 연계 수신의 공고ID가 없을 수 있다.
사업공고 1 : 0..1 사업공고영업기회연계,하나의 사업공고는 검토 후 최대 하나의 영업기회로 전환할 수 있다.
영업기회 1 : 0..1 사업공고영업기회연계,직접 등록한 영업기회는 사업공고 연계가 없고 공고에서 전환한 영업기회는 하나의 연계를 가진다.
영업기회 1 : 1 사업성분석,하나의 영업기회에 사업성 분석을 수행한다.
영업기회 1 : N 제안,하나의 영업기회에 여러 차수의 제안이 발생할 수 있다.
제안 1 : 0..1 수주,제안 결과에 따라 수주가 발생할 수 있다.
