table_name,column_sequence,korean_name,column_name,domain_name,data_type_override,nullable,default_value,pk_yn,description,note
TB_SALES_ANNC,1,공고ID,ANNC_ID,ID,,N,,Y,사업공고의 공고ID,논리 속성
TB_SALES_ANNC,2,공고명,ANNC_NM,LONG_NAME,,N,,N,사업공고의 공고명,논리 속성
TB_SALES_ANNC,3,수요기관코드,DEMAND_INST_CD,CODE,,Y,,N,사업공고의 수요기관코드,논리 속성
TB_SALES_ANNC,4,입찰개시일시,BID_START_DTM,TIMESTAMP,,Y,,N,사업공고의 입찰개시일시,논리 속성
TB_SALES_ANNC,5,입찰마감일시,BID_END_DTM,TIMESTAMP,,Y,,N,사업공고의 입찰마감일시,논리 속성
TB_SALES_ANNC,6,개찰일시,BID_OPEN_DTM,TIMESTAMP,,Y,,N,사업공고의 개찰일시,논리 속성
TB_SALES_ANNC,7,마감일,CLOSE_DT,DATE,,Y,,N,사업공고의 마감일,논리 속성
TB_SALES_ANNC,8,예산금액,BUDGET_AMT,AMOUNT,,Y,,N,사업공고의 예산금액,논리 속성
TB_SALES_ANNC,9,공고상태,ANNC_STATUS_CD,CODE,,Y,,N,사업공고의 공고상태,논리 속성
TB_SALES_ANNC,10,공고종류코드,ANNC_TYPE_CD,CODE,,Y,,N,사업공고의 공고종류코드,논리 속성
TB_SALES_ANNC,11,입찰공고번호,BID_ANNC_NO,NUMBER,,Y,,N,사업공고의 입찰공고번호,논리 속성
TB_SALES_ANNC,12,수요기관명,DEMAND_INST_NM,LONG_NAME,,N,,N,사업공고의 수요기관명,논리 속성
TB_SALES_ANNC,13,입찰방식,BID_MTHD_NM,NAME,,Y,,N,사업공고의 입찰방식,논리 속성
TB_SALES_ANNC,14,계약방법,CNTR_MTHD_NM,NAME,,Y,,N,사업공고의 계약방법,논리 속성
TB_SALES_ANNC,15,계약구분,CNTR_SE_NM,NAME,,Y,,N,사업공고의 계약구분,논리 속성
TB_SALES_ANNC,16,재입찰여부,REBID_YN,YN,,N,'N',N,사업공고의 재입찰여부,논리 속성
TB_SALES_ANNC,17,긴급공고여부,EMRG_ANNC_YN,YN,,N,'N',N,사업공고의 긴급공고여부,논리 속성
TB_SALES_ANNC,18,발주기관담당자직급,ORDER_INST_CONTACT_POSITION,NAME,,Y,,N,사업공고의 발주기관담당자직급,논리 속성
TB_SALES_ANNC,19,발주기관담당자명,ORDER_INST_CONTACT_NM,NAME,,Y,,N,사업공고의 발주기관담당자명,논리 속성
TB_SALES_ANNC,20,발주기관담당자연락처,ORDER_INST_CONTACT_TEL_NO,TEL_NO,,Y,,N,사업공고의 발주기관담당자연락처,논리 속성
TB_SALES_ANNC,21,입찰공고차수,BID_ANNC_ORD,SEQ,,Y,,N,사업공고의 입찰공고차수,논리 속성
TB_SALES_ANNC,22,공고출처구분코드,ANNC_SRC_SE_CD,CODE,,N,,N,사업공고가 유입된 출처의 구분 코드,논리 속성
TB_SALES_ANNC,23,공고검토상태코드,ANNC_REVIEW_STATUS_CD,CODE,,N,'UNREVIEWED',N,사업공고의 공고검토상태코드,논리 속성
TB_SALES_ANNC,24,검토담당자ID,REVIEW_CONTACT_ID,ID,,Y,,N,사업공고 검토 담당 사용자 식별자,논리 속성
TB_SALES_ANNC,25,검토일시,REVIEW_DTM,TIMESTAMP,,Y,,N,사업공고를 검토한 일시,논리 속성
TB_SALES_ANNC,26,담당자의견내용,CONTACT_OPINION_CONT,CONTENT,,Y,,N,사업공고 검토 담당자의 의견 내용,논리 속성
TB_SALES_ANNC,27,사용자보완정보내용,USER_SUPPL_INFO_CONT,CONTENT,,Y,,N,사용자가 사업공고에 추가하거나 보정한 정보 내용,논리 속성
TB_SALES_ANNC,28,등록자ID,REG_ID,REG_ID,,N,,N,사업공고의 등록자ID,공통 컬럼
TB_SALES_ANNC,29,등록일시,REG_DTM,REG_DTM,,N,CURRENT_TIMESTAMP,N,사업공고의 등록일시,공통 컬럼
TB_SALES_ANNC,30,수정자ID,MOD_ID,MOD_ID,,Y,,N,사업공고의 수정자ID,공통 컬럼
TB_SALES_ANNC,31,수정일시,MOD_DTM,MOD_DTM,,Y,,N,사업공고의 수정일시,공통 컬럼
TB_SALES_ANNC,32,삭제여부,DEL_YN,DEL_YN,,N,'N',N,사업공고의 삭제여부,공통 컬럼
TB_SALES_ANNC,33,원공고ID,ORGNL_ANNC_ID,ID,,Y,,N,재공고가 참조하는 최초 사업공고 식별자,논리 속성
TB_SALES_ANNC,34,입찰진행상태코드,BID_PRGRS_STATUS_CD,CODE,,N,,N,공고부터 최종 결과까지의 입찰 진행단계 코드,논리 속성
TB_SALES_ANNC,35,입찰결과코드,BID_RESULT_CD,CODE,,Y,,N,단독입찰 유찰 낙찰 등 입찰 결과 코드,논리 속성
TB_SALES_ANNC,36,결과확인일시,RESULT_CNFM_DTM,TIMESTAMP,,Y,,N,입찰 결과를 확인한 일시,논리 속성
TB_SALES_ANNC,37,결과확인방법코드,RESULT_CNFM_MTHD_CD,CODE,,Y,,N,API 또는 수동확인 등 결과 확인방법 코드,논리 속성
TB_SALES_ANNC_COLLECT_COND,1,수집조건ID,COLLECT_COND_ID,ID,,N,,Y,사업공고수집조건의 수집조건ID,논리 속성
TB_SALES_ANNC_COLLECT_COND,2,수집조건명,COLLECT_COND_NM,LONG_NAME,,N,,N,사업공고수집조건의 수집조건명,논리 속성
TB_SALES_ANNC_COLLECT_COND,3,공고업무구분코드,ANNC_BIZ_SE_CD,CODE,,N,,N,사업공고수집조건의 공고업무구분코드,논리 속성
