constraint_name,constraint_type,table_name,column_names,reference_table,reference_columns,check_expression,on_delete,on_update,enforcement_type,create_yn,description
PK_TB_COM_NOTI,PK,TB_COM_NOTI,NOTI_ID,,,,,,DATABASE,Y,알림 기본키
PK_TB_COM_TASK_TGT,PK,TB_COM_TASK_TGT,TASK_TGT_ID,,,,,,DATABASE,Y,업무대상 기본키
PK_TB_COM_FILE,PK,TB_COM_FILE,FILE_ID,,,,,,DATABASE,Y,첨부파일 기본키
PK_TB_COM_MEMO,PK,TB_COM_MEMO,MEMO_ID,,,,,,DATABASE,Y,메모 기본키
FK_TB_COM_NOTI_01,FK,TB_COM_NOTI,RCVR_ID,TB_SYS_USER,USER_ID,,RESTRICT,RESTRICT,APPLICATION,N,알림 수신자의 시스템관리 사용자 애플리케이션 참조
FK_TB_COM_FILE_01,FK,TB_COM_FILE,TASK_TGT_ID,TB_COM_TASK_TGT,TASK_TGT_ID,,RESTRICT,RESTRICT,DATABASE,Y,첨부파일의 업무대상 참조 무결성
FK_TB_COM_MEMO_01,FK,TB_COM_MEMO,TASK_TGT_ID,TB_COM_TASK_TGT,TASK_TGT_ID,,RESTRICT,RESTRICT,DATABASE,Y,메모의 업무대상 참조 무결성
FK_TB_COM_MEMO_02,FK,TB_COM_MEMO,WRTR_ID,TB_SYS_USER,USER_ID,,RESTRICT,RESTRICT,APPLICATION,N,메모 작성자의 시스템관리 사용자 애플리케이션 참조
CK_TB_COM_NOTI_01,CK,TB_COM_NOTI,READ_YN,,,"READ_YN IN ('Y','N')",,,DATABASE,Y,읽음여부 허용값 검사
CK_TB_COM_NOTI_02,CK,TB_COM_NOTI,DEL_YN,,,"DEL_YN IN ('Y','N')",,,DATABASE,Y,삭제여부 허용값 검사
CK_TB_COM_TASK_TGT_01,CK,TB_COM_TASK_TGT,DEL_YN,,,"DEL_YN IN ('Y','N')",,,DATABASE,Y,삭제여부 허용값 검사
CK_TB_COM_FILE_01,CK,TB_COM_FILE,FILE_SIZE,,,FILE_SIZE >= 0,,,DATABASE,Y,파일크기 음수 방지
CK_TB_COM_FILE_02,CK,TB_COM_FILE,DEL_YN,,,"DEL_YN IN ('Y','N')",,,DATABASE,Y,삭제여부 허용값 검사
CK_TB_COM_MEMO_01,CK,TB_COM_MEMO,DEL_YN,,,"DEL_YN IN ('Y','N')",,,DATABASE,Y,삭제여부 허용값 검사
