constraint_name,constraint_type,table_name,column_names,reference_table,reference_columns,check_expression,on_delete,on_update,enforcement_type,create_yn,description
PK_TB_CUST_MST,PK,TB_CUST_MST,CUST_ID,,,,,,DATABASE,Y,고객사 기본키
PK_TB_CUST_CONTACT,PK,TB_CUST_CONTACT,CUST_CONTACT_ID,,,,,,DATABASE,Y,고객담당자 기본키
PK_TB_CUST_ACTIVITY,PK,TB_CUST_ACTIVITY,ACT_ID,,,,,,DATABASE,Y,영업활동 기본키
FK_TB_CUST_CONTACT_01,FK,TB_CUST_CONTACT,CUST_ID,TB_CUST_MST,CUST_ID,,RESTRICT,RESTRICT,APPLICATION,N,고객담당자의 고객사 애플리케이션 참조
FK_TB_CUST_ACTIVITY_01,FK,TB_CUST_ACTIVITY,CUST_ID,TB_CUST_MST,CUST_ID,,RESTRICT,RESTRICT,APPLICATION,N,영업활동의 고객사 애플리케이션 참조
FK_TB_CUST_ACTIVITY_02,FK,TB_CUST_ACTIVITY,CUST_CONTACT_ID,TB_CUST_CONTACT,CUST_CONTACT_ID,,RESTRICT,RESTRICT,APPLICATION,N,영업활동 고객사와 동일 고객사에 소속된 고객담당자 애플리케이션 참조
FK_TB_CUST_ACTIVITY_03,FK,TB_CUST_ACTIVITY,ACT_CHRG_USER_ID,TB_SYS_USER,USER_ID,,RESTRICT,RESTRICT,APPLICATION,N,영업활동 담당자의 시스템관리 사용자 애플리케이션 참조
CK_TB_CUST_MST_01,CK,TB_CUST_MST,DEL_YN,,,"DEL_YN IN ('Y','N')",,,DATABASE,Y,삭제여부 허용값 검사
CK_TB_CUST_CONTACT_01,CK,TB_CUST_CONTACT,DEL_YN,,,"DEL_YN IN ('Y','N')",,,DATABASE,Y,삭제여부 허용값 검사
CK_TB_CUST_ACTIVITY_01,CK,TB_CUST_ACTIVITY,DEL_YN,,,"DEL_YN IN ('Y','N')",,,DATABASE,Y,삭제여부 허용값 검사
