constraint_name,constraint_type,table_name,column_names,reference_table,reference_columns,check_expression,on_delete,on_update,enforcement_type,create_yn,description
PK_TB_SALES_ANNC,PK,TB_SALES_ANNC,ANNC_ID,,,,,,DATABASE,Y,사업공고 기본키
PK_TB_SALES_ANNC_COLLECT_COND,PK,TB_SALES_ANNC_COLLECT_COND,COLLECT_COND_ID,,,,,,DATABASE,Y,사업공고수집조건 기본키
PK_TB_SALES_ANNC_COLLECT_TGT_INST,PK,TB_SALES_ANNC_COLLECT_TGT_INST,COLLECT_TGT_INST_ID,,,,,,DATABASE,Y,사업공고수집대상기관 기본키
PK_TB_SALES_ANNC_COLLECT_KWD,PK,TB_SALES_ANNC_COLLECT_KWD,COLLECT_KWD_ID,,,,,,DATABASE,Y,사업공고수집키워드 기본키
PK_TB_SALES_ANNC_COLLECT_HIST,PK,TB_SALES_ANNC_COLLECT_HIST,COLLECT_HIST_ID,,,,,,DATABASE,Y,사업공고수집이력 기본키
PK_TB_SALES_ANNC_COLLECT_ORGNL,PK,TB_SALES_ANNC_COLLECT_ORGNL,COLLECT_ORGNL_ID,,,,,,DATABASE,Y,사업공고수집원문 기본키
PK_TB_SALES_ANNC_REL_RCV,PK,TB_SALES_ANNC_REL_RCV,REL_RCV_ID,,,,,,DATABASE,Y,사업공고연계수신 기본키
PK_TB_SALES_ANNC_OPPTY_REL,PK,TB_SALES_ANNC_OPPTY_REL,ANNC_OPPTY_REL_ID,,,,,,DATABASE,Y,사업공고영업기회연계 기본키
PK_TB_SALES_OPPTY,PK,TB_SALES_OPPTY,SALES_OPPTY_ID,,,,,,DATABASE,Y,영업기회 기본키
PK_TB_SALES_FEAS_ANALYSIS,PK,TB_SALES_FEAS_ANALYSIS,ANALYSIS_ID,,,,,,DATABASE,Y,사업성분석 기본키
PK_TB_SALES_PRPSL,PK,TB_SALES_PRPSL,PRPSL_ID,,,,,,DATABASE,Y,제안 기본키
PK_TB_SALES_ORDER_RCV,PK,TB_SALES_ORDER_RCV,ORD_RCV_ID,,,,,,DATABASE,Y,수주 기본키
FK_TB_SALES_ANNC_01,FK,TB_SALES_ANNC,ORGNL_ANNC_ID,TB_SALES_ANNC,ANNC_ID,,RESTRICT,RESTRICT,DATABASE,Y,재공고의 원공고 참조 무결성
