index_name,table_name,column_names,unique_yn,index_method,where_condition,description
UX_TB_SALES_ANNC_01,TB_SALES_ANNC,BID_ANNC_NO|BID_ANNC_ORD,Y,,BID_ANNC_NO IS NOT NULL,외부 입찰공고번호와 차수의 전체 이력 고유성 보장
IX_TB_SALES_ANNC_01,TB_SALES_ANNC,DEMAND_INST_NM|BID_START_DTM,N,,DEL_YN = 'N',수요기관별 사업공고 조회
IX_TB_SALES_ANNC_02,TB_SALES_ANNC,ANNC_STATUS_CD|BID_START_DTM,N,,DEL_YN = 'N',공고상태별 사업공고 조회
IX_TB_SALES_ANNC_03,TB_SALES_ANNC,ANNC_REVIEW_STATUS_CD|REG_DTM,N,,DEL_YN = 'N',검토상태별 수집공고 조회
IX_TB_SALES_ANNC_04,TB_SALES_ANNC,ORGNL_ANNC_ID,N,,DEL_YN = 'N' AND ORGNL_ANNC_ID IS NOT NULL,원공고별 재공고 조회
IX_TB_SALES_ANNC_05,TB_SALES_ANNC,BID_PRGRS_STATUS_CD|BID_RESULT_CD|RESULT_CNFM_DTM,N,,DEL_YN = 'N',입찰 진행상태와 결과 조회
IX_TB_SALES_ANNC_06,TB_SALES_ANNC,ANNC_NM,N,,DEL_YN = 'N',사업공고명 검색
UX_TB_SALES_ANNC_COLLECT_COND_01,TB_SALES_ANNC_COLLECT_COND,COLLECT_COND_NM,Y,,DEL_YN = 'N',삭제되지 않은 수집조건명 고유성 보장
IX_TB_SALES_ANNC_COLLECT_COND_01,TB_SALES_ANNC_COLLECT_COND,ANNC_BIZ_SE_CD|LAST_SUCC_COLLECT_DTM,N,,DEL_YN = 'N',업무구분별 정기수집 대상 조건 조회
UX_TB_SALES_ANNC_COLLECT_TGT_INST_01,TB_SALES_ANNC_COLLECT_TGT_INST,COLLECT_COND_ID|ORDER_INST_CD,Y,,DEL_YN = 'N',수집조건별 대상 발주기관 중복 방지
IX_TB_SALES_ANNC_COLLECT_TGT_INST_01,TB_SALES_ANNC_COLLECT_TGT_INST,COLLECT_COND_ID|ORDER_INST_NM,N,,DEL_YN = 'N',수집조건별 대상 발주기관 조회
UX_TB_SALES_ANNC_COLLECT_KWD_01,TB_SALES_ANNC_COLLECT_KWD,COLLECT_COND_ID|KWD_SE_CD|KWD_CONT,Y,,DEL_YN = 'N',수집조건별 포함 및 제외 키워드 중복 방지
IX_TB_SALES_ANNC_COLLECT_KWD_01,TB_SALES_ANNC_COLLECT_KWD,COLLECT_COND_ID|KWD_SE_CD,N,,DEL_YN = 'N',수집조건별 키워드 조회
IX_TB_SALES_ANNC_COLLECT_HIST_01,TB_SALES_ANNC_COLLECT_HIST,COLLECT_COND_ID|COLLECT_START_DTM,N,,,수집조건별 실행이력 조회
IX_TB_SALES_ANNC_COLLECT_HIST_02,TB_SALES_ANNC_COLLECT_HIST,COLLECT_PROC_STATUS_CD|COLLECT_START_DTM,N,,,처리상태별 수집이력 조회
IX_TB_SALES_ANNC_COLLECT_HIST_03,TB_SALES_ANNC_COLLECT_HIST,REPROC_STATUS_CD|COLLECT_START_DTM,N,,,재처리상태별 수집이력 조회
IX_TB_SALES_ANNC_COLLECT_HIST_04,TB_SALES_ANNC_COLLECT_HIST,REG_DTM,N,,,등록일시 기준 수집이력 보관정책 처리
UX_TB_SALES_ANNC_COLLECT_ORGNL_01,TB_SALES_ANNC_COLLECT_ORGNL,COLLECT_HIST_ID|BID_ANNC_NO|BID_ANNC_ORD|ORGNL_HASH_VAL,Y,,,수집 실행 내 동일 공고 원문 중복 방지
IX_TB_SALES_ANNC_COLLECT_ORGNL_01,TB_SALES_ANNC_COLLECT_ORGNL,BID_ANNC_NO|BID_ANNC_ORD|COLLECT_DTM,N,,,공고번호와 차수별 수집 원문 이력 조회
IX_TB_SALES_ANNC_COLLECT_ORGNL_02,TB_SALES_ANNC_COLLECT_ORGNL,ORGNL_HASH_VAL,N,,,원문 해시 기준 중복 판정
UX_TB_SALES_ANNC_REL_RCV_01,TB_SALES_ANNC_REL_RCV,COLLECT_ORGNL_ID,Y,,,수집원문과 연계수신의 일대일 관계 보장
IX_TB_SALES_ANNC_REL_RCV_01,TB_SALES_ANNC_REL_RCV,REL_PROC_STATUS_CD|REG_DTM,N,,,연계 처리상태별 수신이력 조회
IX_TB_SALES_ANNC_REL_RCV_02,TB_SALES_ANNC_REL_RCV,ANNC_ID|REG_DTM,N,,ANNC_ID IS NOT NULL,사업공고별 연계 수신·반영 이력 조회
IX_TB_SALES_ANNC_REL_RCV_03,TB_SALES_ANNC_REL_RCV,bidNtceNo|bidNtceOrd|chgDt,N,,,외부 원본 공고번호와 차수 및 변경일시 기준 조회
