entity_name,table_name,table_type,description,note
사업공고,TB_SALES_ANNC,BUSINESS,수동 등록 및 외부 자동수집 사업공고 통합정보,최초 공고와 재공고를 별도 행으로 관리
사업공고수집조건,TB_SALES_ANNC_COLLECT_COND,MASTER,발주기관 키워드 및 업무구분별 사업공고 자동수집 조건,
사업공고수집대상기관,TB_SALES_ANNC_COLLECT_TGT_INST,RELATION,수집조건별 대상 발주기관,
사업공고수집키워드,TB_SALES_ANNC_COLLECT_KWD,RELATION,수집조건별 포함 및 제외 키워드,
사업공고수집이력,TB_SALES_ANNC_COLLECT_HIST,HISTORY,사업공고 수집 실행 단위 처리 결과와 재처리 상태,API호출로그가 참조하는 수집 실행 식별자 제공
사업공고수집원문,TB_SALES_ANNC_COLLECT_ORGNL,HISTORY,외부 API 응답 원문과 해시,수집 후 변경하지 않는 원문 보존
사업공고연계수신,TB_SALES_ANNC_REL_RCV,HISTORY,조달청 OpenAPI 원본 응답 필드와 검증·반영 결과,외부 응답 컬럼명은 원본 대소문자를 보존하여 인용 식별자로 사용
사업공고영업기회연계,TB_SALES_ANNC_OPPTY_REL,RELATION,사업공고의 영업기회 전환 및 재공고 연결 감사정보,공고별 최대 한 건
영업기회,TB_SALES_OPPTY,BUSINESS,최초 공고부터 재공고와 최종 수주까지 이어지는 영업 단위,사업공고 없이 직접 등록 가능
사업성분석,TB_SALES_FEAS_ANALYSIS,BUSINESS,영업기회별 예상매출 예상원가 예상손익 및 투입 분석,영업기회별 활성 분석 최대 한 건
제안,TB_SALES_PRPSL,BUSINESS,사업공고별 단일 제안 제출정보,공고별 이력 전체에서 최대 한 건
수주,TB_SALES_ORDER_RCV,BUSINESS,최종 제안의 수주 여부와 결과,제안별 이력 전체에서 최대 한 건
